"Vovó... posso descansar agora? Tô tão cansada.","Grandma... Can I rest now? I'm so tired.","Abuela... ¿puedo descansar por fin? Estoy muy cansada."
"Kainé! Por aqui!","Kainé! Over here!","¡Kainé! ¡Aquí!"
"Não desista! Você é mais forte que isso! Não se atreva a desistir agora!","Don't give up! You're stronger than that! Don't you dare give up now!","¡No te rindas! ¡Sé fuerte! ¡Ni se te ocurra rendirte ahora!"
"Essa mulher não vale o trabalho que dá.","This woman is more trouble than she's worth.","Con esta mujer todo son problemas."
"É isso, vamos lá!","That's it, c'mon!","¡Eso es! ¡Venga!"
"Você vai viver, Kainé.","You're going to live, Kainé.","Vas a vivir, Kainé."
"Viver? Para quê?","Live? What for?","¿Vivir? ¿Para qué?"
"O quê?","What?","¿Cómo?"
"Hmph. Consegui me vingar. E agora... acabou.","Hmph. I had my revenge. And now...it's over.","Bah. Ya me he vengado. Y ahora... se acabó."
"Oh, agora, veja só! Que maravilha!","Oh, now, see here! This is rich!","¡Ah, vale! ¡Entendido! ¡Esta sí que es buena!"
"Weiss!","Weiss!","¡Weiss!"
"Te ajudamos em sua busca louca por vingança, agora, você quer se despedir assim, do nada?","We help you in some mad quest for vengeance, and now you think to bid us adieu?","Te ayudamos con tu estúpida venganza, ¿y ahora pretendes despedirte de nosotros así, sin más?"
"Como uma lutadora tão talentosa pode ser amaldiçoada com uma cabeça tão dura?","How can a fighter so skilled be cursed with such a thick head?","¿Cómo es posible que alguien tan dotado para el combate haya sido maldecido con una cabeza tan hueca?"
"Um verdadeiro guerreiro lutaria! Eles dariam tudo a serviço de seus amigos!","A true warrior would fight! They would give all in the service of their friends!","¡Una guerrera de verdad lucharía hasta el final! ¡Haría lo que fuera por ayudar a sus amigos!"
"...Amigos?","...Friends?","¿Amigos?"
"Está certo... ele está certo! Kainé, somos amigos agora!","That's right... He's right! Kainé, we're friends now!","Exacto... ¡Es verdad! ¡Kainé y yo ahora somos amigos!"
"Veja bem! Esse não era o ponto!","See here! That was hardly the point!","¡Eh! ¡No era eso a lo que me refería!"
"Ok, então qual é o ponto?","Okay, then what IS the point?","Vale, ¿y a qué te referías, entonces?"
"Er...","Er...","Eh..."
"Kainé! Precisamos da sua ajuda. Você vai lutar conosco?","Kainé! We need your help. Will you fight with us?","Kainé, necesitamos tu ayuda. ¿Quieres luchar a nuestro lado?"
"Tolo! Você não pode simplesmente perguntar a ela assim, do nada!","Fool! You cannot simply ask her outright!","¡Idiota! ¡A ella no se le puede preguntar directamente!"
"Há uma ordem adequada para esses assuntos! É preciso abordar o tópico<LF>com palavras cuidadosamente selecionadas antes de iniciar as negociações para-","There is a proper order to these matters! One must ease into the topic<LF>with carefully considered words before commencing negotations to—","¡Existe un orden establecido para este tipo de cosas! Hay que tocar el tema con las palabras adecuadas antes de iniciar las negociaciones para..."
"Calado, LIVRO.","Cram it, book.","Cierra el pico, libro."
"Li-livro!? Como você ousa! Eu sou Grimório Weiss, portador do poder arcano—","B-book!? How dare you! I am Grimoire Weiss, wielder of arcane—","¡¿L-libro?! ¡Cómo te atreves! Soy Grimoire Weiss, portador de secretos..."
"Weiss, então.","Weiss, then.","Weiss, entonces."
"Não abrevie meu nome!","Do not abbreviate my name!","¡No me acortes el nombre!"
"Você é um idiota... mas tá certo.","You're an ass...but you're right.","Eres un capullo... pero no te falta razón."
"Não posso simplesmente viver atrás de vingança...","I can't just live for revenge...","No puedo vivir tan solo por la venganza..."
"Quer dizer... você vem com a gente?","You mean...you're coming with us?","¿Quieres decir... que te quedarás con nosotros?"
"Essas minhas espadas precisam de um lar de verdade... mas vocês servirão por enquanto.","These swords of mine need a true home...but you'll do for now.","Mis espadas necesitan un auténtico hogar... pero por ahora me apañaré con vosotros."
