"Ah, olá! Como vão as coisas? ... Hmm? Você quer saber se algo fora do normal está acontecendo?","Oh, hello! How are things? ...Hmm? You want to know if anything unusual is happening?","¡Ah, hola! ¿Qué tal todo? ¿Mmm? ¿Que si ocurre algo fuera de lo normal?"
"Bem, tenho sentido uma presença bastante estranha sempre que visito a Árvore Divina.","Well, I have been feeling a rather strange presence whenever I visit the Divine Tree.","Bueno, la verdad es que noto una presencia extraña cada vez que me acerco al Árbol Divino."
"A Árvore Divina?","The Divine Tree?","¿El Árbol Divino?"
"É uma árvore lendária que existe no coração de nossa aldeia.","It's a legendary tree that exists in the heart of our village.","Un árbol legendario que hay en el corazón de nuestra aldea."
"Você investigou a causa dessa... presença?","Did you investigate the cause of this...presence?","¿Has investigado la causa de esta... presencia?"
"Não, de fato não.","Not really, no.","Pues no, la verdad."
"E por que não?","And why not?","¿Por qué no?"
"Bem, não é realmente permitido irmos perto da árvore, exceto para rezar.","Well, we're not really supposed to go near the tree, except for prayer.","Bueno, se supone que no podemos acercarnos al árbol a no ser que sea para rezar."
"E por quê!?","And why is that!?","¡¿Y eso por qué?!"
"Eu não sei. É como se as coisas sempre fossem assim.","I don't know. It's just how things have always been.","No lo sé. Así han sido siempre las cosas."
"... Estranho.","...Weird.","Qué raro..."
"Tem algo estranho acontecendo com a Árvore Divina.","There's something strange happening with the Divine Tree.","Algo raro ocurre con el Árbol Divino."
"Lembrei de algo. Tenho uma história interessante para você. Gostaria de ouvi-la?","That reminds me. I have a rather interesting story for you. Would you care to hear it?","Eso me recuerda que tengo una historia bastante interesante que contarte. ¿Quieres escucharla?"
"A presença estranha deixou a Árvore Divina.","The strange presence has left the Divine Tree.","La presencia extraña ha abandonado el Árbol Divino."
"Isso me fez pensar. Digo, por que estamos adorando uma árvore? Isso é estranho, não é? * suspiro * Às vezes me pergunto por que fazemos qualquer uma das coisas que fazemos.","But it made me think. I mean, why are we worshipping a tree? That's odd, right? *sigh* Sometimes I wonder why we do any of the things we do.","Pero eso ha hecho que me pregunte por qué adoramos a un árbol. Es muy raro, ¿no? *suspiro* A veces no sé por qué hacemos nada de lo que hacemos."
