"0","2","26","4294967295","16","20","16","20","","","","Au, au, au, au, au!"
"","","","","20.4","24.4","21.8","24.4","","","","Wow, ma è assurdo!"
"","","","","24.7","29.7","25","28","","","","È incredibile come resiste bene il corpo di mia sorella..."
"","","","","30","31","29","31","","","","Uff. Gnn..."
"","","","","31.7","36","31.7","35.5","","","","Accidenti... È difficile muoversi... quando sei solo una testa."
"","","","","36.5","38.6","36.5","38.6","","","","Dove saranno gli altri?"
"","","","","38.7","40.5","38.7","40.5","","","","Spero di rivederli presto!"
"","","","","40.5","44.7","40.5","44.7","","","","Prima però ho qualche faccenda da sbrigare..."
"","","","","44.7","50","44.7","48","","","","Ad esempio, trovare un corpo! O delle gambe, almeno."
"","","","","52.3","59","52.3","59","","","","Spero che Kainé e Weiss non si siano già ammazzati a vicenda.<LF>Non si può lasciarli soli un minuto..."
""
