"0","2","26","4294967295","7.9","10","7.9","10","","","","Yonah? Fale comigo!"
"","","","","10.8","13.5","10.8","13.5","","","","Está tudo bem, estou bem... e você?"
"","","","","13.6","16","13.6","16","","","","Ahh, esses caras não eram nada."
"","","","","16.3","22","16.3","22.4","","","","OK, bom.... Ei, a propósito, veja isso. Eu encontrei isso enquanto você se foi."
"","","","","22.8","25.8","22.8","25.8","","","","Uau, isso é um biscoito?"
"","","","","25.9","28.8","25.9","28.8","","","","Aqui, podemos dividi-lo."
"","","","","29","31","29","30","","","","Não, fique contigo"
"","","","","31.8","34","31.8","34","","","","Não! Você também precisa comer."
"","","","","36.3","38","36.3","38","","","","Certo. Vou pegar a pequena metade."
"","","","","38","44.6","38","44.6","","","","Não. Vamos lá, você precisa manter sua força-"
"","","","","50.7","53","51.1","53","","","","Yonah? Yonah!"
"","","","","54","65.4","54","63","","","","Oh não... me desculpe por ter deixado o biscoito cair... eu não pretendia..."
"","","","","65.4","70","65.6","70","","","","Yonah...? Por que você-"
"","","","","70.8","79.5","70.8","79.5","","","","Você... sempre foi o único... me ajudando, então... então eu só queria..."
"","","","","79.6","84","79.6","84","","","","Não! Yonah! YONAH!"
"","","","","92.5","94","92.5","94","","","","Nós precisamos de ajuda..."
"","","","","95.3","101.5","95.5","101.5","","","","Por favor, alguém, precisamos de ajuda! Ajude-nos!"
"","","","","140.7","144","140.7","142","","","","Oh, Yonah..."
""
